NumRooms,CriticalPathLength,CriticalPathDistance,Depth,NumNeighbours
9,6,0,2,2
2,2,0,3,3
2,2,0,4,2
6,2,1,4,3
6,2,2,4,3
6,2,1,4,5
6,2,2,5,1
6,2,3,3,3
6,2,4,2,3
3,2,5,1,2
3,2,5,1,2
3,2,1,2,3
7,2,0,3,4
7,2,1,1,3
7,2,0,1,4
7,2,2,4,3
7,2,0,2,4
7,2,1,1,4
7,2,0,4,1
8,3,0,3,3
8,3,0,0,3
8,3,0,0,2
8,3,0,1,2
8,3,1,1,2
8,3,2,2,2
8,3,3,3,3
8,3,4,4,2
13,5,3,4,3
13,5,2,5,3
13,5,3,6,2
13,5,4,7,1
13,5,1,5,2
13,5,0,4,3
13,5,0,3,3
13,5,1,4,1
13,5,0,2,2
13,5,0,5,2
13,5,0,6,3
13,5,1,7,3
13,5,2,8,2
13,7,3,9,2
13,7,2,8,2
13,7,0,7,2
13,7,0,8,1
13,7,0,0,1
13,7,0,1,4
13,7,1,2,1
13,7,0,2,3
13,7,0,3,2
13,7,0,4,1
13,7,1,3,2
13,7,1,2,2
13,7,2,4,1
9,5,2,3,1
9,5,0,0,5
9,5,1,1,1
9,5,1,1,1
9,5,1,1,1
9,5,1,1,1
9,5,0,1,3
9,5,1,2,2
9,5,0,2,2
17,8,0,0,3
17,8,1,1,2
17,8,1,1,1
17,8,2,2,1
17,8,0,1,3
17,8,1,2,1
17,8,0,2,2
17,8,0,3,2
17,8,0,4,1
17,8,0,0,1
17,8,0,1,2
17,8,0,2,2
17,8,0,3,2
17,8,0,4,4
17,8,1,5,2
17,8,0,5,2
17,8,1,5,2
19,8,0,6,4
19,8,0,7,1
19,8,0,0,1
19,8,0,1,2
19,8,0,2,4
19,8,1,3,2
19,8,1,3,2
19,8,0,3,4
19,8,0,4,3
19,8,1,5,1
19,8,0,5,2
19,8,0,6,1
19,8,0,0,2
19,8,1,1,4
19,8,1,2,2
19,8,2,2,1
19,8,1,2,1
19,8,0,1,4
19,8,0,2,1
15,5,2,2,1
15,5,2,2,2
15,5,0,0,6
15,5,1,1,5
15,5,1,1,4
15,5,2,2,1
15,5,2,2,1
15,5,2,2,2
15,5,2,3,1
15,5,2,2,1
15,5,1,1,4
15,5,1,1,3
15,5,2,2,3
15,5,3,3,1
15,5,2,2,2
10,5,1,2,3
